,url,fname,val_type
0,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img48.png,img48.png,pos
1,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img49.png,img49.png,pos
2,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img27.png,img27.png,pos
3,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img37.png,img37.png,pos
4,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img32.png,img32.png,pos
5,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img23.png,img23.png,pos
6,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img30.png,img30.png,pos
7,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img17.png,img17.png,pos
8,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img28.png,img28.png,pos
9,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img11.png,img11.png,pos
10,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img15.png,img15.png,pos
11,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img6.png,img6.png,pos
12,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img16.png,img16.png,pos
13,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img21.png,img21.png,pos
14,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img47.png,img47.png,pos
15,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img38.png,img38.png,pos
16,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img18.png,img18.png,pos
17,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img46.png,img46.png,pos
18,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img2.png,img2.png,pos
19,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img1.png,img1.png,pos
20,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img31.png,img31.png,pos
21,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img13.png,img13.png,pos
22,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img41.png,img41.png,pos
23,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img24.png,img24.png,pos
24,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/pos-upright/img35.png,img35.png,pos
0,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/neg-upright/img35.png,img35.png,neg
1,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/neg-upright/img13.png,img13.png,neg
2,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/neg-upright/img7.png,img7.png,neg
3,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/neg-upright/img42.png,img42.png,neg
4,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/neg-upright/img30.png,img30.png,neg
5,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/neg-upright/img22.png,img22.png,neg
6,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/neg-upright/img23.png,img23.png,neg
7,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/neg-upright/img9.png,img9.png,neg
8,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/neg-upright/img6.png,img6.png,neg
9,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/NeuroGen-v0/neg-upright/img48.png,img48.png,neg
